,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
2233,Jaime Schultz,2018,198,95.3,2393,84.6,234,0
2234,Drew Rucinski,2018,197,92.6,2009,84.5,233,0
2235,Tim Mayza,2018,191,94.1,2123,59,324,0
2236,Kevin Jepsen,2018,190,92,2420,61.5,309,0
2237,Anthony Swarzak,2018,189,94,2303,53.1,356,1
2238,Mike Dunn,2018,189,92,2268,55.8,339,0
2239,Noah Syndergaard,2018,188,97.5,2182,15.7,1200,0
2240,Roberto Osuna,2018,188,94.2,2412,84.3,223,0
2241,Jonathan Loaisiga,2018,188,95.8,2329,53.3,353,0
2242,Dan Altavilla,2018,187,96,2367,51.9,360,0
2243,Brandon Workman,2018,187,89.2,2014,62.1,301,0
2244,Jordan Montgomery,2018,186,90.2,2163,41.1,453,0
2245,Craig Stammen,2018,186,86.7,2293,23.1,805,0
2246,Keynan Middleton,2018,184,95.8,2421,59.2,311,0
2247,Drew Hutchison,2018,184,90.6,2159,50.4,365,0
2248,Dominic Leone,2018,184,92.2,2361,93.9,196,0
2249,Merandy Gonzalez,2018,183,94,2259,53.8,340,0
2250,Jeremy Hellickson,2018,183,87.9,2267,16.9,1084,1
2251,Luke Jackson,2018,182,94,2148,47,387,0
2252,Chasen Bradford,2018,179,91.2,2319,29,617,0
2253,Eduardo Paredes,2018,178,93.5,2266,59.3,300,0
2254,Andrew Kittredge,2018,177,93.3,2191,40.6,436,0
2255,Tim Hill,2018,177,91.9,2258,31.5,562,0
2256,Paul Blackburn,2018,177,89.6,2163,40,442,0
2257,Adam Morgan,2018,176,94.2,2428,34,518,0
2258,Tim Peterson,2018,175,90.3,2232,56.3,311,0
2259,Sam Dyson,2018,174,89.9,2532,23.6,736,0
2260,Brock Stewart,2018,173,90.9,2331,51.5,336,0
2261,Taylor Rogers,2018,172,93.2,2065,24.8,694,0
2262,Doug Fister,2018,169,84.9,2060,15.1,1116,0
2263,Xavier Cedeno,2018,168,86.1,2386,63.9,263,0
2264,Mark Leiter Jr.,2018,168,91,1938,60,280,0
2265,Anthony Bass,2018,167,94.1,1941,68.4,244,0
2266,Taijuan Walker,2018,165,93.2,2212,73.7,224,0
2267,Blake Treinen,2018,163,96.8,2549,20,815,0
2268,Hunter Wood,2018,162,94,2498,50.9,318,0
2269,Silvino Bracho,2018,162,93.2,2334,58.1,279,0
2270,Corey Oswalt,2018,162,90.6,2109,40.9,396,0
2271,Austin Davis,2018,161,93.4,2152,47.5,339,0
2272,Anthony Banda,2018,159,93.8,2137,83.7,190,0
